time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.76966E+18,0.071253662,0.018624621,-0.026375966,-0.039994449,0.004016501,0.012129687,-0.014991982
1.76966E+18,0.081241699,-0.013795301,-0.052534489,-0.038318625,0.003626179,0.016929569,-0.014517101
1.76966E+18,0.091229736,-0.018406156,-0.057706924,-0.060719842,0.007427841,0.028581165,-0.013018541
1.76966E+18,0.101217773,-0.040225043,-0.057657824,-0.072655779,0.010307151,0.04169561,-0.011519572
1.76966E+18,0.111205811,-0.069183426,-0.064106269,-0.068377955,0.011328739,0.048821166,-0.012796025
1.76966E+18,0.121193848,-0.054690791,-0.063307228,-0.020517011,0.014572135,0.048397012,-0.019507026
1.76966E+18,0.131181641,-0.044536549,-0.052379007,0.000973229,0.013614195,0.05598782,-0.02534654
1.76966E+18,0.141169678,-0.043781274,-0.059984221,0.003228607,0.011073588,0.06131937,-0.032411754
1.76966E+18,0.151157959,-0.038182139,-0.038199675,0.001426233,0.012035522,0.054661468,-0.032922816
1.76966E+18,0.161145996,-0.048033744,-0.034862639,-0.029491175,0.017925493,0.044456504,-0.036629789
1.76966E+18,0.171133545,-0.031883404,-0.04016776,-0.046999067,0.018216576,0.05211043,-0.035673447
1.76966E+18,0.181121582,-0.054516019,-0.023225977,-0.027504093,0.017434523,0.076198258,-0.025499636
1.76966E+18,0.191109863,-0.077858316,-0.037094344,-0.013042437,0.016979655,0.077972718,-0.018869964
1.76966E+18,0.201097656,-0.025526875,-0.054921092,0.016621757,0.015292276,0.068038598,-0.017777534
1.76966E+18,0.211085693,0.009047814,-0.063235916,0.070667527,0.014874693,0.065663055,-0.024371522
1.76966E+18,0.22107373,0.055199836,-0.055202832,0.108114922,0.012027144,0.056908909,-0.032055046
1.76966E+18,0.231061768,0.081894439,-0.04329729,0.06024784,0.008947197,0.037254516,-0.037309196
1.76966E+18,0.241049805,0.080720719,-0.027432781,0.044828737,0.009516269,0.029980423,-0.03707571
1.76966E+18,0.251037842,0.018087957,-0.039086394,0.026655367,0.009686179,0.038125701,-0.026156217
1.76966E+18,0.261025879,-0.05131335,-0.026717327,0.000403028,0.004957587,0.039765749,-0.014520873
1.76966E+18,0.271013672,-0.036593993,-0.037624505,-0.003345803,-0.003131232,0.034427974,-0.001323579
1.76966E+18,0.281001953,-0.005043328,-0.092384854,0.031777533,-0.025986912,0.022755099,0.011794208
1.76966E+18,0.290990723,0.058298387,-0.089194533,0.146381232,-0.028512919,-0.004940443,0.014296248
1.76966E+18,0.30097876,0.178559162,-0.033693595,0.170618432,-0.013849459,-0.024320733,-0.002790822
1.76966E+18,0.310966553,0.148095635,-0.033595396,-0.005420856,-0.004667678,-0.021039985,-0.014700745
1.76966E+18,0.320954834,-0.085574005,-0.048415948,-0.094674426,-0.005558093,0.001879948,0.000269073
1.76966E+18,0.330942871,-0.223719324,-0.001201777,-0.026570027,-0.0043879,0.009614301,0.016300237
1.76966E+18,0.340930908,-0.118991121,0.015303368,0.050098202,-0.0029,0.011555876,0.015153755
1.76966E+18,0.350918701,0.009176994,-0.049096332,0.024476854,0.00334458,0.012740716,-0.003613008
1.76966E+18,0.360906982,0.045888549,-0.074037881,-0.011612989,0.007294271,0.008397367,-0.012146547
1.76966E+18,0.370894775,-0.024826398,-0.098840313,-0.02425269,0.009290044,0.007343288,-0.012918863
1.76966E+18,0.380882568,-0.042556116,-0.094837508,0.000970306,0.01202257,0.010127356,-0.016661515
1.76966E+18,0.390870605,-0.014024434,-0.059841013,-0.000391045,0.01469958,0.02005429,-0.022629926
1.76966E+18,0.400858643,-0.002206497,-0.023566754,0.028323885,0.009104249,0.042137597,-0.020952335
1.76966E+18,0.410846924,-0.009246552,-0.050108139,0.05726181,0.002221576,0.05282566,-0.014115201
1.76966E+18,0.420834717,0.0243845,-0.066091306,0.063095046,-0.006280251,0.042067986,-0.012245509
1.76966E+18,0.430822754,0.074781392,-0.070084175,0.033013212,-0.010769807,0.025322562,-0.015066596
1.76966E+18,0.440810791,0.086945293,-0.109538233,0.012151918,-0.011187755,0.014160391,-0.020757012
1.76966E+18,0.450798828,0.051829045,-0.07394728,-0.006092472,-0.005499243,0.006286755,-0.030262901
1.76966E+18,0.460786865,-0.008678396,-0.036382981,-0.016083704,0.003027981,0.001648226,-0.039481811
1.76966E+18,0.470774902,0.044420083,-0.094857966,-0.034482992,0.006220578,0.003256243,-0.06611076
1.76966E+18,0.480762695,-0.093549806,-0.013690087,-0.026359599,0.015892357,0.034741491,-0.068526275
1.76966E+18,0.490750732,-0.09327625,0.019798341,-0.026829555,0.01882796,0.068460576,-0.066995755
1.76966E+18,0.50073877,-0.091914241,0.027820904,-0.061361939,0.025051983,0.092310667,-0.043764982
1.76966E+18,0.510726807,-0.111525681,0.045662266,-0.07315876,0.031320795,0.071330279,-0.033234313
1.76966E+18,0.5207146,0.017731983,-0.1402344,-0.023252573,0.025265668,0.052611202,-0.02394907
1.76966E+18,0.530702637,0.022206571,-0.199388015,0.035994858,0.016784033,0.045351423,-0.022859572
1.76966E+18,0.540690918,0.033825113,-0.118607675,0.076101535,0.009621075,0.037216231,-0.028922597
1.76966E+18,0.550678711,0.053814519,-0.053375032,0.084059801,0.005333119,0.022692949,-0.038670566
1.76966E+18,0.560666748,0.039382747,-0.026623803,0.073903148,0.003635207,0.020829305,-0.045861024
1.76966E+18,0.570655762,-0.014074703,-0.019451135,0.049217328,0.002856233,0.027285073,-0.055199664
1.76966E+18,0.580643799,-0.025147301,-0.035103462,0.033471185,0.003110711,0.030139681,-0.065840669
1.76966E+18,0.590631592,-0.009665654,-0.047865329,0.011445815,0.001328524,0.021344857,-0.070098527
1.76966E+18,0.600619629,0.023159342,-0.077957684,-0.006660627,0.001017297,0.018409053,-0.07055416
1.76966E+18,0.610607666,0.0426549,-0.097444475,-0.018400749,-0.004335657,0.030023366,-0.089186162
1.76966E+18,0.620595947,0.049828153,-0.090619598,-0.00864011,-0.009002872,0.058467325,-0.127771229
1.76966E+18,0.63058374,-0.035480552,-0.036175475,-0.017379882,-0.002302359,0.047627993,-0.143015698
