time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.76966E+18,0.069691406,0.063955024,-0.06315116,-0.019518939,0.006255948,0.002529376,-0.02049059
1.76966E+18,0.079679199,0.004136808,-0.024465748,-0.008916005,0.007103099,0.010476515,-0.013903528
1.76966E+18,0.08966748,-0.009635113,-0.016480595,-0.033555064,0.00625602,0.012996957,-0.005003719
1.76966E+18,0.099655518,0.008334698,-0.024030279,-0.031242403,0.003454908,0.012439823,0.000650172
1.76966E+18,0.109643311,0.038446343,-0.015139117,0.00926438,0.001073436,0.004259484,-0.001161469
1.76966E+18,0.119631348,0.053468555,-0.018657939,0.041741,-0.003437958,-0.004779285,-0.008252934
1.76966E+18,0.129618408,0.046277913,-0.017947745,0.033162557,-0.00848615,-0.002446042,-0.013016744
1.76966E+18,0.139606445,0.053088616,-0.033884149,0.016893559,-0.009922126,-0.002674808,-0.014670301
1.76966E+18,0.149594482,0.093420773,-0.057992755,0.003362462,-0.005776286,-0.007400129,-0.014610488
1.76966E+18,0.15958252,0.092844288,-0.026011809,-0.037159226,-0.00421887,-0.013201825,-0.010835723
1.76966E+18,0.169570313,0.06750994,-0.023710546,-0.038182139,-0.003504754,-0.018105816,-0.004607774
1.76966E+18,0.17955835,0.023871436,-0.03282558,-0.031076106,0.00415503,-0.020955399,0.004340447
1.76966E+18,0.189546631,0.023888241,-0.031503392,-0.05149404,0.006721032,-0.018875349,0.005333768
1.76966E+18,0.199534424,0.039378217,-0.02354045,-0.092311496,0.008625193,-0.016256396,0.006002754
1.76966E+18,0.209522217,0.00547887,-0.012788754,-0.051792731,0.009597973,-0.01703581,0.008879872
1.76966E+18,0.219510254,-0.008455694,-0.02046002,-0.055581602,0.009099429,-0.016647788,0.009007704
1.76966E+18,0.229498535,0.02050342,-0.019442952,-0.047504386,0.011043392,-0.017568767,0.008404656
1.76966E+18,0.239485596,0.031823125,-0.024446459,-0.024416941,0.011127814,-0.012105558,0.008058978
1.76966E+18,0.249473389,0.054468672,-0.037326983,-0.006577917,0.006761828,-0.006135695,0.001718953
1.76966E+18,0.259461426,0.110384767,-0.009705401,-0.043838557,0.000362517,-0.00149567,0.001311223
1.76966E+18,0.269449463,0.109363315,-0.005596797,-0.031862288,-0.007471679,0.001336768,0.002435976
