time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.76966E+18,0.071256592,0.384434202,-0.096699794,0.306885975,0.058691587,0.085152626,-0.067295007
1.76966E+18,0.081243408,0.408379725,-0.115706693,0.414174237,0.06590423,0.065411411,-0.104822412
1.76966E+18,0.091231445,0.288484422,-0.123413029,0.366883347,0.063974291,0.059715189,-0.151891366
1.76966E+18,0.101219482,0.132142352,-0.183180392,0.102099023,0.06514848,0.098951004,-0.205437407
1.76966E+18,0.111207764,-0.059243047,-0.160906601,-0.088159199,0.06903097,0.177058771,-0.268334568
1.76966E+18,0.12119458,-0.238335951,-0.091394674,-0.197934894,0.080760859,0.271449178,-0.342967004
1.76966E+18,0.131182617,-0.312328677,-0.02377952,-0.275569046,0.082504213,0.353446662,-0.405827075
1.76966E+18,0.14117041,-0.418900462,-0.052888125,-0.411517147,0.090025775,0.430912942,-0.447630733
1.76966E+18,0.151158447,-0.581506341,-0.111873983,-0.372983564,0.093232475,0.493237913,-0.484310597
1.76966E+18,0.161145508,-0.64659395,-0.16890403,-0.327032106,0.08785475,0.562141597,-0.520823002
1.76966E+18,0.171133545,-0.660917659,-0.17935119,-0.263635885,0.079755507,0.622222245,-0.561227798
1.76966E+18,0.181121582,-0.644135012,-0.156267251,-0.16085414,0.077215917,0.65006721,-0.601356566
1.76966E+18,0.191109619,-0.501637343,-0.155008775,-0.029231063,0.079911344,0.642258406,-0.656167448
1.76966E+18,0.201096436,-0.28044604,-0.15639643,0.031195495,0.085438736,0.614657402,-0.713096261
1.76966E+18,0.211084473,-0.057453241,-0.155292269,0.04248612,0.083306506,0.574475706,-0.750881135
1.76966E+18,0.221072754,0.011714403,-0.297526903,0.003288812,0.059168682,0.509357154,-0.757738531
1.76966E+18,0.23105957,0.105842904,-0.636249154,-0.043535336,0.019070631,0.420870841,-0.691209912
1.76966E+18,0.241047607,0.209519533,-0.485222142,0.039731706,0.014444187,0.432470769,-0.671659946
1.76966E+18,0.251035645,0.199165897,-0.047788756,0.329194545,0.031000718,0.444984674,-0.693178415
