time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.77E+18,0.069290283,-0.156968093,-0.149460494,0.014358342,0.186119989,-0.223510951,-0.251286954
1.77E+18,0.079278076,-0.044663318,-0.163917474,0.020799846,0.181492224,-0.210982651,-0.250342041
1.77E+18,0.08926709,-0.070622519,-0.061090136,0.00110387,0.184730157,-0.206621483,-0.250792861
1.77E+18,0.099255127,6.02E-05,0.000783844,-0.048560544,0.181376711,-0.21564427,-0.257893384
1.77E+18,0.109244141,0.065949851,-0.023374446,-0.040954453,0.199187979,-0.217373908,-0.27361697
1.77E+18,0.119232422,0.12577216,-0.040068976,0.17316103,0.21000655,-0.20682779,-0.293914527
1.77E+18,0.129221436,0.200505621,0.04130407,0.109846568,0.219860181,-0.205493361,-0.298281819
1.77E+18,0.139208984,0.110763391,0.050655251,-0.082210227,0.234628201,-0.191922694,-0.31834048
1.77E+18,0.149198242,-0.015566987,0.02806348,-0.155005561,0.245286018,-0.173120111,-0.345748961
1.77E+18,0.159186279,-0.156422149,0.032934301,-0.186160285,0.245095059,-0.168172479,-0.381400168
1.77E+18,0.169175293,-0.31351533,0.081896777,-0.165652919,0.233890846,-0.154915646,-0.422537953
1.77E+18,0.179163086,-0.431646035,0.113791214,-0.009521277,0.227547452,-0.214093477,-0.468376815
1.77E+18,0.1891521,-0.478949053,0.041343233,0.116284639,0.21958074,-0.276317567,-0.52307421
1.77E+18,0.199140137,-0.527055789,-0.054766194,0.181220491,0.205777302,-0.329478502,-0.561164618
1.77E+18,0.209129395,-0.603299071,-0.157872348,0.176758177,0.188395917,-0.399701387,-0.588104725
1.77E+18,0.219117432,-0.529261775,-0.09158289,0.084390567,0.17039454,-0.421537191,-0.641277134
1.77E+18,0.229106201,-0.518035447,0.000349544,0.129323495,0.158644021,-0.446866035,-0.721710026
1.77E+18,0.239093994,-0.556630843,0.074259414,0.08828056,0.146062717,-0.503809154,-0.783834875
1.77E+18,0.249083252,-0.768375651,0.008650924,-0.023086569,0.143664166,-0.532593071,-0.844340205
1.77E+18,0.259071289,-0.888625833,-0.083392569,0.034262335,0.117676504,-0.564971805,-0.894951165
1.77E+18,0.269060059,-0.958639864,-0.086470661,-0.009881635,0.117503881,-0.603556037,-0.971648097
1.77E+18,0.27904834,-1.103622336,0.051296472,-0.095386812,0.10613884,-0.684000254,-1.038031459
1.77E+18,0.289037109,-0.96908644,-0.182176184,-0.054538961,0.114434063,-0.732229769,-1.109429002
1.77E+18,0.299025146,-0.81984748,-0.415829457,0.127720225,0.089896761,-0.70287478,-1.160623193
1.77E+18,0.30901416,-0.559552868,-0.594624766,-0.037223231,0.044568636,-0.688503385,-1.297740579
1.77E+18,0.319002197,-0.39485798,0.006019991,0.170143947,0.027033316,-0.815535367,-1.390904903
1.77E+18,0.328991211,-0.635603258,0.094052495,0.182419929,0.01766374,-0.918882132,-1.456885576
1.77E+18,0.338979248,-0.632442748,-0.249658067,0.317663243,0.027399722,-1.037956357,-1.483598351
1.77E+18,0.348968262,-0.648237114,-0.209980137,0.136898388,0.080429502,-1.11629951,-1.514320493
1.77E+18,0.358957031,-0.732141724,0.113870125,-0.249112708,0.127268374,-1.089834332,-1.595631838
1.77E+18,0.368945313,-0.705620797,0.01787351,-0.676335519,0.150835678,-0.832588673,-1.64966023
1.77E+18,0.378933105,-0.912924407,-0.306247385,-0.718405459,0.205495462,-0.558978677,-1.669309855
1.77E+18,0.388922119,-0.530601499,-0.563435263,-0.297177066,0.256305963,-0.524314642,-1.679660797
1.77E+18,0.398911133,0.235757552,-0.250587457,-0.207770498,0.286779732,-0.444248289,-1.740320921
1.77E+18,0.40889917,0.773787739,0.09462065,0.007921002,0.295899153,-0.316332638,-1.811762691
1.77E+18,0.418888184,0.76128014,0.356176075,0.124888801,0.307414412,-0.326422304,-1.860854268
1.77E+18,0.428875977,0.680436087,0.44630409,0.013169278,0.330060273,-0.338741302,-1.884110689
1.77E+18,0.43886499,0.827664291,0.225617266,0.455759024,0.298036277,-0.257957786,-1.892800808
1.77E+18,0.448853027,0.931992096,0.194532977,0.462160562,0.255226672,-0.190525174,-1.874359846
1.77E+18,0.458842285,0.669725307,0.082815061,0.284943315,0.233323261,-0.23822239,-1.837520957
1.77E+18,0.468830322,0.356232189,0.204610134,0.125120271,0.218912378,-0.238147497,-1.840994954
1.77E+18,0.478819092,0.32912674,0.51297641,0.078234748,0.226567641,-0.260094345,-2.034193277
1.77E+18,0.488806885,1.29974755,0.704697544,0.193917767,0.263381183,-0.380552351,-2.204797029
