time,seconds_elapsed,z,y,x
1769667428671959000,0.072958984375,0.1123661920428276,-0.03882187232375145,-0.12862521409988403
1769667428681947100,0.082947021484375,0.12122572958469391,-0.01463744230568409,-0.1561252772808075
1769667428691936300,0.092936279296875,0.12341625988483429,-0.036088086664676666,-0.1904735416173935
1769667428701924000,0.102924072265625,0.13631847500801086,-0.05217677727341652,-0.21683351695537567
1769667428711913200,0.112913330078125,0.15797527134418488,-0.05081287771463394,-0.23982055485248566
1769667428721902000,0.122902099609375,0.16892433166503906,-0.004893855191767216,-0.259902685880661
1769667428731890200,0.13289013671875,0.18017567694187164,0.07672981172800064,-0.2662540674209595
1769667428741879300,0.14287939453125,0.1935649812221527,0.09155110269784927,-0.3489049971103668
1769667428751867400,0.152867431640625,0.1858319640159607,0.0028289093170315027,-0.4330153465270996
1769667428761856000,0.16285595703125,0.201743021607399,0.13460558652877808,-0.4341365396976471
1769667428771844000,0.172843994140625,0.12177346646785736,0.14373674988746643,-0.4697594940662384
1769667428781833200,0.182833251953125,-0.05787859112024307,0.2505604028701782,-0.3165038824081421
1769667428791822000,0.192822021484375,-0.10168495774269104,0.2691548764705658,-0.49105215072631836
1769667428801810200,0.20281005859375,-0.056466881185770035,0.137413889169693,-0.5457018613815308
1769667428811799300,0.21279931640625,-0.1324336677789688,-0.05517178773880005,-0.7101181745529175
1769667428821787100,0.222787109375,-0.17589032649993896,-0.21955913305282593,-0.770515501499176
1769667428831776300,0.2327763671875,-0.16742974519729614,-0.496174693107605,-0.7944016456604004
1769667428841764000,0.24276416015625,-0.1873755007982254,-0.6694313883781433,-0.8403611183166504
1769667428851753200,0.252753173828125,-0.1999060958623886,-0.6356310844421387,-0.8280045986175537
1769667428861742300,0.262742431640625,-0.27787598967552185,-0.5597863793373108,-0.8545640707015991
1769667428871730200,0.272730224609375,-0.29624685645103455,-0.5934284925460815,-0.8649471402168274
1769667428881719000,0.282718994140625,-0.2751479744911194,-0.8603171706199646,-0.8777748346328735
1769667428891707100,0.29270703125,-0.3414350748062134,-0.8393785953521729,-0.6927310824394226
1769667428901696300,0.3026962890625,-0.44274118542671204,-0.7856884598731995,-0.5703486800193787
1769667428911684400,0.312684326171875,-0.33661705255508423,-1.1200209856033325,-0.5735715627670288
1769667428921673000,0.3226728515625,-0.25879815220832825,-1.1682921648025513,-0.3956201672554016
1769667428931661000,0.3326611328125,-0.2658044099807739,-0.7839515209197998,-0.24610178172588348
1769667428941650200,0.342650146484375,-0.2304469496011734,-0.19769175350666046,-0.17403024435043335
1769667428951639300,0.352639404296875,-0.2445065677165985,0.4522072374820709,-0.11232054978609085
1769667428961627400,0.36262744140625,-0.1922345757484436,1.111624836921692,-0.07673672586679459
1769667428971616500,0.372616455078125,-0.13424010574817657,1.4190789461135864,-0.13626503944396973
1769667428981604600,0.3826044921875,-0.2452758103609085,1.355459451675415,-0.09960316121578217
1769667428991593500,0.392593505859375,-0.3546670079231262,1.0026475191116333,0.1533164530992508
1769667429001581300,0.402581298828125,-0.38710033893585205,0.7286365628242493,0.24517953395843506
1769667429011570400,0.4125703125,-0.2686190903186798,0.4986807107925415,0.22481806576251984
1769667429021559600,0.4225595703125,-0.14036151766777039,0.4116065204143524,0.2094803899526596
1769667429031547600,0.432547607421875,-0.0338432714343071,0.5501067638397217,0.25767895579338074
1769667429041536500,0.44253662109375,0.06521672755479813,0.7619178295135498,0.3842640519142151
1769667429051524400,0.4525244140625,0.09603992849588394,1.0879900455474854,0.5645485520362854
1769667429061513500,0.462513427734375,0.08134300261735916,1.4462122917175293,0.7546444535255432
1769667429071501600,0.47250146484375,0.11163482815027237,1.8259665966033936,0.8851101398468018
1769667429081490400,0.482490478515625,0.11055997759103775,2.1089699268341064,0.9213717579841614
1769667429091478500,0.492478515625,0.06651365011930466,2.144479513168335,0.7748841047286987
1769667429101467600,0.502467529296875,0.09083070605993271,2.1095986366271973,0.6092357635498047
1769667429111456500,0.51245654296875,0.1107386127114296,2.1404006481170654,0.5558721423149109
1769667429121444400,0.5224443359375,0.06571014970541,2.196300506591797,0.5487068891525269
1769667429131433500,0.53243359375,0.07816794514656067,2.101386547088623,0.5749333500862122
1769667429141421600,0.542421630859375,0.10886673629283905,2.0296120643615723,0.6423481106758118
1769667429151410700,0.55241064453125,0.04288186505436897,2.2001726627349854,0.6242383122444153
1769667429161398500,0.5623984375,-0.04083513468503952,2.2640950679779053,0.6237397789955139
1769667429171387400,0.572387451171875,-0.06083652004599571,2.2634687423706055,0.6228051781654358
1769667429181376500,0.58237646484375,-0.07669697701931,2.2801780700683594,0.5176548361778259
1769667429191364600,0.592364501953125,-0.06194968521595001,2.3254904747009277,0.31035667657852173
1769667429201353500,0.602353515625,-0.006379101425409317,2.072854995727539,0.13996577262878418
1769667429211341600,0.612341552734375,0.025405287742614746,1.6143109798431396,0.015863904729485512
1769667429221330400,0.622330322265625,0.0037734960205852985,1.010287880897522,-0.08786462247371674
1769667429231318500,0.632318603515625,0.037619736045598984,0.6629167199134827,-0.016092956066131592
1769667429241307400,0.642307373046875,-0.06526483595371246,0.5860856175422668,0.20112112164497375
1769667429251295500,0.65229541015625,-0.06487376242876053,0.7447410821914673,0.27039819955825806
1769667429261284600,0.66228466796875,0.05576716363430023,0.9540905356407166,0.14759504795074463
1769667429271273700,0.672273681640625,0.09536006301641464,0.8754566311836243,-0.16478535532951355
1769667429281261600,0.682261474609375,0.06199251860380173,0.6068158745765686,-0.2990131974220276
1769667429291250400,0.69225048828125,0.07279748469591141,0.3276480734348297,-0.25407421588897705
1769667429301238500,0.702238525390625,0.10681457817554474,0.3235228359699249,-0.2237573266029358
1769667429311227600,0.7122275390625,0.11905664205551147,0.36264342069625854,-0.23309262096881866
1769667429321215700,0.7222158203125,0.07731292396783829,0.2730664014816284,-0.23194186389446259
1769667429331204400,0.732204345703125,0.046188224107027054,0.1879478096961975,-0.1992008239030838
1769667429341193500,0.742193359375,0.015105136670172215,0.12887249886989594,-0.19389128684997559
1769667429351181600,0.752181640625,0.008272824808955193,0.036386679857969284,-0.2679535448551178
1769667429361170400,0.76217041015625,0.03670340031385422,0.1357835829257965,-0.27151498198509216
1769667429371158500,0.772158447265625,0.09645335376262665,0.46512919664382935,-0.1109696626663208
1769667429381147600,0.782147705078125,0.1084628775715828,0.665831446647644,-0.17461548745632172
1769667429391135500,0.792135498046875,0.06612139940261841,0.3374391794204712,-0.12643755972385406
1769667429401124400,0.802124267578125,0.0494830347597599,0.14885622262954712,-0.04587080702185631
1769667429411112400,0.812112548828125,0.045036040246486664,0.10702908784151077,-0.010115092620253563
1769667429421101600,0.8221015625,0.03502441942691803,0.08266808837652206,-0.06503346562385559
1769667429431090700,0.832090576171875,0.05275030434131622,-0.030829960480332375,-0.16069155931472778
1769667429441078500,0.84207861328125,0.06727811694145203,-0.16012777388095856,-0.23154470324516296
