time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.77E+18,0.076170898,0.16937457,-0.131416303,0.053334773,0.042587418,0.050294194,-0.02035266
1.77E+18,0.086160156,0.136512165,-0.046040451,0.047350146,0.045238733,0.026849059,-0.02627255
1.77E+18,0.096148926,0.018739772,0.039594344,0.076513915,0.044468548,-0.031203059,-0.026929818
1.77E+18,0.106137695,-0.055353638,0.098501291,0.060088193,0.039995246,-0.06605158,-0.027702296
1.77E+18,0.116125977,-0.067548519,0.045963294,0.004740838,0.030241951,-0.053239908,-0.02807221
1.77E+18,0.12611499,0.0043769,-0.067539751,-0.018145094,0.034021977,-0.025302744,-0.046897396
1.77E+18,0.13610376,0.106760001,-0.115516723,0.054645417,0.052651856,-0.028772043,-0.073182262
1.77E+18,0.146093018,0.13735563,-0.134572137,0.12470548,0.068409659,-0.044567235,-0.098524749
1.77E+18,0.156082031,0.028356326,-0.113805827,0.051571416,0.076069176,-0.051326074,-0.119909666
1.77E+18,0.166071045,-0.108708797,-0.03714812,-0.100709249,0.072561629,-0.034332611,-0.13894622
1.77E+18,0.176058838,-0.274002235,-0.034009822,-0.214393204,0.051399086,0.054206576,-0.188356102
1.77E+18,0.186047852,-0.360042103,0.027810967,-0.06217932,0.061096944,0.012690916,-0.179803774
1.77E+18,0.196036865,-0.196811443,-0.206361362,-0.092943437,0.051272541,0.049201254,-0.182878137
1.77E+18,0.206025879,-0.181457222,-0.151312259,-0.067772683,0.046966318,0.123937249,-0.207532197
1.77E+18,0.216015137,-0.155745858,-0.092294837,0.004227262,0.06587369,0.118897483,-0.257407874
1.77E+18,0.226003906,-0.06468553,-0.246201789,-0.010791955,0.074618079,0.162473753,-0.334952891
1.77E+18,0.23599292,-0.12572832,-0.423330042,-0.040175359,0.043018874,0.317572266,-0.477009654
1.77E+18,0.245980957,-0.080845807,-0.692000852,-0.246649679,0.043159626,0.427797049,-0.562887967
1.77E+18,0.255969727,-0.288574365,-0.722578361,-0.130254566,0.026534576,0.534511209,-0.637695909
1.77E+18,0.26595874,-0.286723769,-1.159700781,-0.1265061,0.041370459,0.612034619,-0.68920821
1.77E+18,0.275947998,-0.203708801,-1.546732014,-0.253672344,0.005895821,0.742769957,-0.691138506
1.77E+18,0.285936768,-0.239130243,-1.881520433,-0.466971469,-0.036025159,0.908727109,-0.664266169
