time,seconds_elapsed,z,y,x
1769657881183538400,0.062538330078125,0.006333263125270605,-0.023299995809793472,-0.04283987358212471
1769657881193526500,0.072526611328125,-0.012892895378172398,-0.025254223495721817,0.005604356061667204
1769657881203515000,0.082514892578125,-0.03635907173156738,-0.022941801697015762,0.05138302966952324
1769657881213503000,0.0925029296875,-0.04077938571572304,-0.047201067209243774,0.07583297789096832
1769657881223491000,0.102490966796875,-0.04158233106136322,-0.046422094106674194,0.05357081815600395
1769657881233479000,0.11247900390625,-0.029349898919463158,-0.02359667234122753,0.018636800348758698
1769657881243466800,0.122466796875,-0.030415963381528854,0.014001836068928242,0.01179167814552784
1769657881253454800,0.132454833984375,-0.018502844497561455,0.02269439399242401,-0.006473345682024956
1769657881263443000,0.14244287109375,-0.014105699025094509,0.027229489758610725,-0.048834383487701416
1769657881273430800,0.1524306640625,-0.033001091331243515,-0.015260445885360241,-0.048714809119701385
1769657881283419000,0.1624189453125,-0.014846323989331722,0.006172674708068371,-0.05987158790230751
1769657881293407000,0.172406982421875,-0.03002953715622425,0.0049004824832081795,-0.08024876564741135
1769657881303393800,0.182393798828125,-0.04290991649031639,-0.05368053913116455,-0.08806594461202621
1769657881313382000,0.1923818359375,-0.04284946247935295,-0.04417838156223297,-0.08695060759782791
1769657881323370000,0.202369873046875,-0.042880889028310776,-0.002416019793599844,-0.09333021193742752
1769657881333357800,0.21235791015625,-0.045410625636577606,-0.0037883466575294733,-0.07843275368213654
1769657881343346000,0.222345947265625,-0.05386083573102951,-0.02996082790195942,-0.06373583525419235
1769657881353334000,0.232333984375,-0.06196217238903046,-0.04785487428307533,-0.062075354158878326
1769657881363321900,0.24232177734375,-0.06556542962789536,-0.06915882974863052,-0.08134012669324875
1769657881373310000,0.25231005859375,-0.06403810530900955,-0.0875687301158905,-0.11622487753629684
1769657881383298000,0.262298095703125,-0.05438947305083275,-0.10811208933591843,-0.16438362002372742
1769657881393286000,0.272285888671875,-0.044025249779224396,-0.11718308180570602,-0.21173329651355743
1769657881403273700,0.282273681640625,-0.0324157290160656,-0.11612740159034729,-0.2546498775482178
1769657881413261800,0.29226171875,-0.021395303308963776,-0.1087706908583641,-0.27792856097221375
1769657881423250000,0.30225,-0.009924535639584064,-0.09985415637493134,-0.29459115862846375
1769657881433237800,0.31223779296875,0.0002639192680362612,-0.06799875944852829,-0.31279492378234863
1769657881443224800,0.322224853515625,0.005484247580170631,0.0021840583067387342,-0.32195672392845154
1769657881453213000,0.332212890625,-0.005184908397495747,0.06608553975820541,-0.33225810527801514
1769657881463200800,0.34220068359375,-0.012893960811197758,0.10530431568622589,-0.3427397608757019
1769657881473188900,0.35218896484375,-0.01203988492488861,0.1088218241930008,-0.3409048616886139
1769657881483177000,0.362177001953125,-0.010932542383670807,0.08719854801893234,-0.3488927483558655
1769657881493164800,0.372164794921875,-0.02690245397388935,0.0497816726565361,-0.355654776096344
1769657881503153000,0.38215283203125,-0.06964459270238876,0.0173180028796196,-0.34926480054855347
1769657881513141000,0.39214111328125,-0.10624814033508301,0.010096043348312378,-0.3378121256828308
1769657881523129000,0.402129150390625,-0.11650930345058441,0.017049023881554604,-0.33538544178009033
1769657881533117000,0.412116943359375,-0.142673522233963,0.005477589555084705,-0.3259464204311371
1769657881543104800,0.422104736328125,-0.1515791416168213,0.08349968492984772,-0.3063466250896454
1769657881553092900,0.4320927734375,-0.10474958270788193,0.05765796825289726,-0.30735090374946594
1769657881563080700,0.442080810546875,-0.10861649364233017,-0.0037846181076020002,-0.2346833497285843
1769657881573068800,0.45206884765625,-0.11579051613807678,0.005230980925261974,-0.22688880562782288
1769657881583056000,0.462055908203125,-0.09605728834867477,0.03353052958846092,-0.20213232934474945
1769657881593043700,0.472043701171875,-0.07591287046670914,0.002133458387106657,-0.18122412264347076
1769657881603031800,0.48203173828125,-0.0954572781920433,-0.04944824427366257,-0.2059134840965271
1769657881613020000,0.49202001953125,-0.1011364683508873,0.005921006202697754,-0.2086738497018814
1769657881623007700,0.5020078125,-0.08701585978269577,-0.0020666129421442747,-0.20939210057258606
1769657881632995800,0.511995849609375,-0.07978963851928711,-0.0291174054145813,-0.19619321823120117
1769657881642984000,0.52198388671875,-0.10780289769172668,-0.020731909200549126,-0.1902804672718048
1769657881652972000,0.531971923828125,-0.12726260721683502,0.00216514989733696,-0.21010875701904297
1769657881662959900,0.5419599609375,-0.13427631556987762,0.0021931130904704332,-0.2339637577533722
1769657881672948000,0.551947998046875,-0.13467898964881897,-0.008177235722541809,-0.26160043478012085
1769657881682936000,0.56193603515625,-0.13441400229930878,-0.0029944581910967827,-0.3009057641029358
1769657881692924000,0.571923828125,-0.13936269283294678,0.0018767296569421887,-0.3273182213306427
1769657881702911700,0.581911865234375,-0.14769545197486877,0.034389130771160126,-0.32897815108299255
1769657881712899800,0.59189990234375,-0.16045145690441132,0.08041734248399734,-0.3128942549228668
1769657881722888000,0.601887939453125,-0.16828514635562897,0.1079416498541832,-0.30145493149757385
1769657881732874800,0.611874755859375,-0.1827935129404068,0.11532632261514664,-0.28685998916625977
1769657881742862800,0.62186279296875,-0.19056515395641327,0.11280164867639542,-0.2758001685142517
1769657881752850700,0.6318505859375,-0.20696569979190826,0.11067751049995422,-0.268385112285614
1769657881762838800,0.6418388671875,-0.20775292813777924,0.11540701985359192,-0.27262139320373535
1769657881772827000,0.651826904296875,-0.21327179670333862,0.13152900338172913,-0.27661988139152527
1769657881782815000,0.66181494140625,-0.20724134147167206,0.16942179203033447,-0.2958316504955292
1769657881792802800,0.671802734375,-0.2061033695936203,0.205156609416008,-0.31919050216674805
1769657881802791000,0.681791015625,-0.20465993881225586,0.2280944138765335,-0.33178725838661194
1769657881812779000,0.691779052734375,-0.2069537192583084,0.23135492205619812,-0.32915154099464417
1769657881822766800,0.701766845703125,-0.21036869287490845,0.22377663850784302,-0.31911700963974
1769657881832755000,0.7117548828125,-0.2227739542722702,0.1809394210577011,-0.302045613527298
1769657881842743000,0.721742919921875,-0.2351776361465454,0.1388670653104782,-0.27407363057136536
1769657881852731000,0.73173095703125,-0.24960237741470337,0.11756204813718796,-0.2512325048446655
1769657881862718700,0.74171875,-0.24876907467842102,0.14581206440925598,-0.24250105023384094
1769657881872706000,0.7517060546875,-0.21217697858810425,0.20799767971038818,-0.237844780087471
1769657881882694000,0.76169384765625,-0.17378084361553192,0.2501659095287323,-0.26795369386672974
1769657881892681700,0.771681640625,-0.13999438285827637,0.25974369049072266,-0.29997286200523376
1769657881902669800,0.781669921875,-0.11391325294971466,0.23913535475730896,-0.2897458076477051
1769657881912658000,0.791657958984375,-0.09295310825109482,0.21670621633529663,-0.2627384066581726
1769657881922645800,0.801645751953125,-0.07981546968221664,0.19542169570922852,-0.22462645173072815
1769657881932633900,0.8116337890625,-0.07135167717933655,0.19328929483890533,-0.17693908512592316
1769657881942622000,0.8216220703125,-0.0613725483417511,0.2167688012123108,-0.13199850916862488
1769657881952609800,0.83160986328125,-0.05302247032523155,0.25780171155929565,-0.11000373214483261
1769657881962598000,0.841597900390625,-0.05041736736893654,0.30044957995414734,-0.09671375900506973
1769657881972586000,0.8515859375,-0.05874507129192352,0.3076385259628296,-0.08285866677761078
1769657881982574000,0.861573974609375,-0.05813760682940483,0.30256837606430054,-0.07356583327054977
