time,seconds_elapsed,z,y,x,z,y,x
1.76967E+18,0.067874756,-0.109587917,0.034672377,-0.041133098,0.033045422,0.033671349,-0.231892839
1.76967E+18,0.077862549,-0.091842417,0.002403262,-0.048449558,0.034094173,0.038945474,-0.256426394
1.76967E+18,0.087851563,-0.032872342,0.064418112,-0.000790274,0.032119282,0.041053828,-0.306312829
1.76967E+18,0.097839844,-0.024200375,0.094026483,-0.029018297,0.028362628,0.043227237,-0.360646099
1.76967E+18,0.107828613,-0.151727854,0.010729776,-0.056210548,0.020024752,0.063874483,-0.427843869
1.76967E+18,0.117816406,-0.149352357,0.063557988,-0.051792731,0.022867944,0.084188014,-0.511437535
1.76967E+18,0.127805664,-0.211333889,0.061873103,-0.116178402,0.02627833,0.104320586,-0.599525571
1.76967E+18,0.137793701,-0.322859497,0.178105866,-0.14900179,0.051540278,0.176064283,-0.668157339
1.76967E+18,0.147782715,-0.376550755,0.182604346,-0.150417064,0.045890428,0.199336007,-0.667282403
1.76967E+18,0.157770508,-0.204278125,0.150365041,-0.139521722,0.035902776,0.170962691,-0.771532416
1.76967E+18,0.167759766,-0.024701895,0.542724191,-0.140998955,0.038374297,0.151464626,-0.855352581
1.76967E+18,0.177747559,-0.305855755,-0.536363716,0.257106045,0.022620101,0.344283342,-1.025683522
1.76967E+18,0.187736816,-0.388673154,-0.107407359,0.076179569,-0.00815666,0.508434653,-1.277471304
1.76967E+18,0.197725586,-0.991011856,0.509034103,-0.053519847,0.041493718,0.681403518,-1.473521471
1.76967E+18,0.207713623,-0.942114846,0.550926202,-0.381289035,0.057033479,0.953153133,-1.712297201
1.76967E+18,0.217702881,-0.848725784,0.397200744,-0.370016823,-0.020207247,1.479995966,-2.047977209
1.76967E+18,0.227690674,-1.389894854,0.649137862,0.152389679,-0.196779877,1.920436859,-2.358472109
1.76967E+18,0.237679443,-1.556102484,0.591807078,0.029040509,-0.23438105,1.834516883,-2.377060175
1.76967E+18,0.24766748,-0.470362427,-0.437772555,0.657821373,-0.185919032,1.38561058,-2.276785374
1.76967E+18,0.257656738,0.492285505,-0.745721483,0.209145147,-0.077478841,0.53251797,-2.178580999
1.76967E+18,0.267644775,0.100430213,-0.191523273,-0.194629277,-0.017577276,0.92538166,-2.007218122
1.76967E+18,0.277633545,-0.38531683,-0.111488636,0.085891619,-0.051275317,1.497626305,-1.395493507
1.76967E+18,0.287621582,0.87154961,0.074653382,0.414912269,-0.054237872,1.154103518,-0.656761169
1.76967E+18,0.297610596,2.312334693,-0.645382601,0.230554942,0.080144435,0.820930362,-0.186604843
1.76967E+18,0.307598633,1.307802846,-0.638855537,-0.145543612,0.111944661,0.729835629,0.002421984
