session_id,true_label,pred_label,pred_conf,is_correct,num_windows,form_similarity,temporal_consistency,embedding_smoothness,train_sessions_for_label,template_exemplar_session,overall_score
31,bomb,bomb,0.9877830147743225,True,92,0.9878305196762085,0.9895873848824794,0.9948043757742577,5,4,0.9897523504576995
32,crawl,crawl,0.6726335883140564,True,77,0.968716561794281,0.870295161683754,0.6134296302732668,3,6,0.86813275545692
33,hide,hide,0.537591278553009,True,77,0.9368569850921631,0.799210655117799,0.8371899355398981,5,11,0.8756296761894009
34,kneelingshot,kneelingshot,0.45474445819854736,True,77,0.9040109515190125,0.8851582589491633,0.8676819236654985,3,20,0.891089338177355
24,standby,standby,0.9417846202850342,True,77,0.9985696077346802,0.9694657004950903,0.9511980367334265,4,23,0.9803641213625525
36,walk,crawl,0.5059261918067932,False,92,0.9235692620277405,0.935772479388152,0.9054807090497279,4,29,0.9236125166402614
